SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,absolute_magnitude
4264960356721627904,284.6184961646843,-1.7075965917733567,0.35579777471681534,-1.1153410713240783,-4.927000457249441,18.264,1.8721275,30.507983801327477
4264960356721628160,284.61031444658,-1.7143355697979832,0.1438051590615913,-2.744281755284712,-6.899558631195215,17.91903,2.589899,32.1301569018576
4264960356721634816,284.6169382608054,-1.7020542363753046,0.3184993350225589,-0.575933914658131,-6.756395063714646,19.670889,2.237793,32.155346251094414
4264960356721636736,284.6074787536242,-1.708399927165051,1.775199496393974,1.1726485435682996,-0.18287293822737963,17.757622,2.4767857,26.51138593504149
4264960356721638400,284.6055768602973,-1.7087899672253422,0.5881835761345301,-0.9349294098389518,-2.5051353281524853,18.268682,2.0328674,29.421118012237834
5817814612987681792,251.6696239356273,-63.893692606574554,0.14463746673116357,2.2149078793019994,-2.8671381823043327,20.533062,1.8683395,34.73165794770428
5817814612987688448,251.68245668115298,-63.899995411254565,0.04976198308334323,-1.9572822462512924,-8.891416354663548,20.243118,1.0974331,36.75862988983797
5817814612988048768,251.67526037722598,-63.8913703272004,1.2082630090077284,-2.847358166931868,-3.652360852193609,20.861065,1.1738377,30.450257512111932
5817814613005622016,251.67795079381338,-63.9000510563768,0.034291529237173685,-2.835643839217675,-8.72119063992876,17.922361,1.1657734,35.24642710894824
5817814613005638784,251.67125716211473,-63.890861885479545,0.42285393557140516,1.4961009979026985,-7.375167464767959,16.679375,0.999815,28.548422809841455
5817814613005642240,251.6589293019095,-63.8926542438763,0.24321735462403996,1.1889825981387923,-6.921064981557959,17.771158,0.8713646,30.841185415780178
5817814613005644672,251.65613582179165,-63.891667321518376,0.3046341567546431,-0.8148643674058534,-4.367780380347622,17.889645,1.1543903,30.470751640304215
5817814643050929792,251.68525807988772,-63.891374117855996,0.21362308138913083,-1.8561711246684296,-7.770973323496676,18.971138,1.8099461,32.322897124380425
5901369078591380736,222.90892077469098,-50.10957335469047,0.9653732046295989,-7.926202749017318,-6.503884556477253,20.355276,2.0537472,30.431799906987557
