HIP,MAGNITUDE,RA_DEGREES,DEC_DEGREES,PARALLAX_MAS,RA_MAS_PER_YEAR,DEC_MAS_PER_YEAR,DISTANCE_PARSECS,ABS_MAG,COLOR_K_R,COLOR_K_G,COLOR_K_B,Dx,Dy,Dz,GLON,GLAT,RA_HOURS,EPOCH_YEAR,stereo_X,stereo_Y
636.0,5.93,1.939266706185606,-22.506430083799863,0.0,70.1,-34.71,78.3699,1.459,0.789,0.8160000000000001,1.0,8.403788267348574,12.255061055193313,-76.9482361545803,55.56,-79.07,0.12966666666666668,2000.0,2.0,1.5038799755,0.1869876545
655.0,5.67,2.013714878253893,-33.53027464497028,0.0,-42.75,3.15,94.9668,0.782,1.0,0.613,0.338,18.60962118269152,-1.3306895935233949,-93.11608006613255,355.91,-78.67,0.13430555553333334,2000.0,5.0,1.7152331281,0.4734278078
664.0,6.18,2.049894114348234,-2.451636498893091,0.0,7.25,-4.87,279.3296,-1.051,1.0,0.64,0.378,-18.242465074532902,124.43931025888384,-249.4135039777472,98.34,-63.24,0.13669444446666665,2000.0,5.0,1.130832117,-0.1127882518
677.0,2.07,2.094101263529126,29.09327014206463,3.2e-05,135.68,-162.95,29.7442,-0.297,0.355,0.499,1.0,-9.252396551316687,23.214856435168443,-16.130128095948322,111.73,-32.84,0.13980555553333335,2000.0,0.0,0.6599421113,-0.3053981321
671.0,5.99,2.0694961496107567,-8.819927438204774,0.0,-34.13,-35.67,98.4252,1.024,1.0,0.613,0.338,-1.0997767713965807,35.19109802604173,-91.91244260607276,91.79,-69.04,0.13816666666666666,2000.0,5.0,1.2427619172,-0.0388175606
699.0,6.21,2.1770085938073294,36.6336860053601,4.4e-05,-114.72,-124.6,32.4465,3.654,0.851,0.855,1.0,-11.659064044278699,26.878130190766612,-13.94301636338451,113.45,-25.45,0.1447222222,2000.0,2.0,0.5648800818,-0.3249163428
696.0,6.11,2.1405659603814797,-17.579952484257582,0.0,14.92,-47.27,578.0347,-2.7,1.0,0.343,0.063,36.276830084059725,132.51488312579684,-561.4694219218877,74.69,-76.25,0.14261111113333333,2000.0,6.0,1.4049967992,0.0952707188
716.0,6.24,2.214667912674912,25.460683653343512,0.0,104.61,54.77,138.5042,0.533,1.0,0.89,0.869,-39.88650895619595,104.07074758419107,-82.22991741571245,110.97,-36.42,0.14783333333333332,2000.0,3.0,0.7073296208,-0.2915687286
760.0,6.01,2.351027538983942,79.71200832884558,2e-06,106.17,-39.37,105.4852,0.894,0.636,0.716,1.0,-51.92479398954243,86.48573773264215,30.840887747018833,120.98,17.0,0.1556111111333333,2000.0,1.0,0.0996812733,-0.3452064667
746.0,2.2800000000000002,2.2765705230410447,59.1561300336693,7.2e-05,523.39,-180.42,16.7842,1.155,1.0,0.922,0.9490000000000001,-7.742650427217158,14.86082547517792,-0.9573923951112601,117.52,-3.27,0.15297222219999998,2000.0,3.0,0.3089109149,-0.3515456432
729.0,5.57,2.259282739156305,18.21084931776626,0.0,140.93,-25.57,87.4126,0.862,1.0,0.89,0.869,-20.629372699131924,59.94603456872704,-60.18192885148575,108.99,-43.51,0.15066666666666664,2000.0,3.0,0.8068145406,-0.2600436158
730.0,6.32,2.264643773675516,-53.9988921318425,9e-06,46.45,13.08,128.3697,0.778,1.0,0.881,0.848,43.50534883818112,-41.647311186705565,-113.3647474811984,316.25,-62.02,0.15066666666666664,2000.0,3.0,1.9422532716,1.3832766384
761.0,5.42,2.3315977218495902,-27.988560534810343,2.3e-05,72.57,-9.99,77.4593,0.975,1.0,0.937,0.988,11.407112993876156,5.377510192735387,-76.42580267005357,25.24,-80.63,0.15583333333333332,2000.0,3.0,1.6022292123,0.3215857752
765.0,3.88,2.3551921547290533,-45.742221577898135,6.599999999999999e-05,122.15,-180.13,44.2087,0.652,1.0,0.89,0.869,12.520414576739581,-8.983582964643908,-41.436018288850185,324.34,-69.6,0.15686111113333334,2000.0,3.0,1.8952195408,0.9495176312
813.0,5.54,2.5109036923297765,11.146247921129877,1.7e-05,29.73,1.6400000000000001,93.633,0.683,0.34900000000000003,0.493,1.0,-17.309378578025566,57.07930508719914,-72.17670699751433,106.87,-50.43,0.16730555553333334,2000.0,0.0,0.9085996874,-0.2168020876
841.0,5.01,2.5744983699347017,46.068759811280046,-2e-06,4.51,0.21,377.3585,-2.874,0.9390000000000001,0.907,1.0,-156.11269442022737,327.003265220974,-105.34291005059629,115.52,-16.21,0.1720277778,2000.0,3.0,0.4528667089,-0.3384387148
857.0,6.74,2.6237263458368147,57.169654827138345,0.0,20.1,-1.19,179.5332,0.46900000000000003,0.355,0.499,1.0,-82.21780848259891,158.74983588451707,-16.45878115771571,117.38,-5.26,0.1749166666666667,2000.0,0.0,0.3300470823,-0.3488142934
840.0,5.84,2.5788082173345686,-5.251486192757932,0.0,34.98,-29.01,58.309,2.011,1.0,0.89,0.869,-2.882799831241146,23.512445573047348,-53.28033266888902,96.99,-66.03,0.17188888886666664,2000.0,3.0,1.1734315596,-0.0733052842
814.0,5.29,2.49876636040932,-82.22122765220134,0.0,-21.66,-20.39,78.064,0.8280000000000001,1.0,0.626,0.358,36.44090272595843,-52.76496670028444,-44.51861401296213,304.63,-34.77,0.16725,2000.0,5.0,0.6860641082,2.9629126746
873.0,5.84,2.6761982217585967,-12.57718780467807,0.0,149.39,-38.22,75.0188,1.464,1.0,0.89,0.869,0.9042160951532962,22.41545122870286,-71.58596435689687,87.69,-72.6,0.17855555553333335,2000.0,3.0,1.3029109495,0.0240293229
865.0,6.66,2.652918119839086,-73.22599413100036,0.0,121.5,18.57,70.4225,2.421,0.602,0.6930000000000001,1.0,30.687334926392406,-40.753058682814945,-48.546927702589564,306.98,-43.58,0.17738888886666668,2000.0,0.0,1.3680416758,2.5903430758
910.0,4.89,2.8157513049434897,-15.462026557321174,6.7e-05,-84.2,-269.31,18.747700000000002,3.525,0.851,0.855,1.0,0.652610258210298,4.789033925270722,-18.113958959970205,82.24,-75.06,0.18775,2000.0,2.0,1.3540394476,0.0714557554
930.0,5.41,2.8887828703791456,-27.799609989774304,0.0,4.61,17.09,243.309,-1.521,1.0,0.64,0.378,33.63308856828767,16.622507712328204,-240.39920355881236,26.3,-81.13,0.1928888888666667,2000.0,5.0,1.5861145673,0.326147314
950.0,5.24,2.9337366101325983,-35.13216602566099,3.4e-05,169.01,113.75,21.2766,3.6,0.9390000000000001,0.907,1.0,4.192552044214174,-0.9556029780528753,-20.83753915089044,347.16,-78.34,0.19555555553333334,2000.0,3.0,1.7198828319,0.5383274088
967.0,6.18,2.9934282810869774,48.1520803272585,0.0,60.54,10.39,202.0202,-0.34700000000000003,1.0,0.6910000000000001,0.46,-86.34513585249346,175.78617067267203,-49.55704715671286,116.16,-14.2,0.19974999999999998,2000.0,5.0,0.4288566573,-0.3380651825
